"Response number","How would you rate your agreement with the following statement: I enjoyed learning R as part of this module.","At this point in the course, how would you rate your anxiety levels around using R for statistical analysis?","Are there any further comments that you wish to add about the module at this stage"
73,"Neither agree nor disagree",Anxious,
74,Agree,"Not particularly anxious",
75,"Strongly agree","Not particularly anxious",
76,Disagree,Anxious,
77,"Neither agree nor disagree","Not particularly anxious",
78,"Strongly agree","Not at all anxious",
79,"Strongly agree","Not at all anxious","I love using R!!"
80,"Strongly agree","Not at all anxious","very well organised
lecturers were helpful and replied quick when emailed
Found the tutorials really helpful when i needed help"
81,Agree,"Not particularly anxious",
82,"Strongly disagree",Anxious,
83,Agree,"Not at all anxious",
84,"Neither agree nor disagree","Very anxious",
85,"Strongly agree","Not particularly anxious",
86,"Neither agree nor disagree","Not particularly anxious",
87,Agree,"Not particularly anxious","I noticed some errors in the pdf slides, for instance on slide 8 of t_hyptests-1.pdf or 8.5: t-Tests of the Mean, the example references the hypothesis of example 2 rather than example 1. It reads &amp;quot;Recall H1 : μ &amp;gt; 7.5&amp;quot; where it should read &amp;quot;H1 : μ &amp;lt; 430&amp;quot; which confused me to no end until I scrolled down and noticed it was an error.  There are also some grammatical errors."
88,"Strongly agree","Not particularly anxious",
89,Agree,Anxious,
90,Agree,"Not particularly anxious",
91,Agree,"Not particularly anxious",
92,Agree,"Not particularly anxious",no
93,Agree,Anxious,
94,Disagree,Anxious,
95,Agree,"Not particularly anxious",
96,Agree,"Not particularly anxious",
97,"Strongly agree","Not particularly anxious",
98,Agree,"Not at all anxious",
99,"Strongly agree","Not particularly anxious","I think that I have learn a lot with this module and how working with R and I just need to work for the speed while working in R. thank you for all your explanations and your patience"
100,Agree,Anxious,
101,Agree,"Not particularly anxious",
102,"Strongly disagree","Not particularly anxious",
103,"Neither agree nor disagree",Anxious,
104,Disagree,Anxious,
105,"Strongly agree","Not particularly anxious",
106,Agree,"Not particularly anxious",
107,Agree,"Not particularly anxious",
108,"Strongly agree",Anxious,
109,"Neither agree nor disagree",Anxious,.
110,Agree,"Not particularly anxious","I think the quizzes should also show working to the answer."
111,Agree,"Not particularly anxious",
112,"Strongly agree","Not particularly anxious",
113,Agree,"Not particularly anxious",
114,"Neither agree nor disagree","Not particularly anxious",
115,"Strongly agree","Not particularly anxious","I was really anxious when I realised we had to study statistics this semester but it has actually been my favourite class this semester."
116,Agree,"Not at all anxious",
117,"Strongly agree","Not at all anxious",
118,Agree,"Not particularly anxious",
119,Agree,"Not particularly anxious","It was extremely useful as I learned lots of different skills."
120,"Strongly agree","Not at all anxious","I found it easier to learn when there were rewatchable videos included in the teaching."
121,Disagree,"Not particularly anxious",
