"Response number","Do you have any experience in using a computer programming language e.g. Java, Python, etc","If yes please give some details","Are you worried/nervous about learning a new computing language ?","Any further comments relating to the above question"
58,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
59,No,,"Yes, I am very worried/nervous about learning a new computing language.","I don&#039;t have much experience using computers as it is not something I picked up at school. All of my mathematic type work was paper based."
60,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
61,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
62,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
63,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
64,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
65,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
66,Yes,"I did higher computing in 6th year where python was used for programming and java for web design.","Yes, I am slightly worried/nervous about learning a new computing language.",
67,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
68,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
69,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
70,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
71,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
72,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
73,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
74,No,,"No, I am not worried/nervous about learning a new computing language.",
75,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
76,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
77,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
78,No,,"No, I am not worried/nervous about learning a new computing language.",
79,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
80,No,,"Yes, I am very worried/nervous about learning a new computing language.",
81,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
82,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
83,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
84,No,,"Yes, I am very worried/nervous about learning a new computing language.",
85,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
86,Yes,"Visual basic - coding and making programs
Javascript - Developing webpages
HTML - Creating webpages","Yes, I am slightly worried/nervous about learning a new computing language.",
87,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",
88,Yes,"I tried to learn how to code on CodeAcademy at the start of my 5th year in school. However I ended up getting distracted by trying to pass my Highers and wasn&#039;t able to continue this.","No, I am not worried/nervous about learning a new computing language.",
